Domain,Type,Sponsoring Organisation,Date
.credit,generic,"Snow Shadow, LLC",2024-02-19
.creditcard,generic,"Binky Frostbite, LLC",2024-02-19
.cricket,generic,dot Cricket Limited,2024-02-19
.crs,generic,Federated Co-operatives Limited,2024-02-19
.cruises,generic,"Spring Way, LLC",2024-02-19
.cuisinella,generic,SALM S.A.S.,2024-02-19
.cymru,generic,Nominet UK,2024-02-19
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd.",2024-02-19
.dabur,generic,Dabur India Limited,2024-02-19
.dad,generic,Charleston Road Registry Inc.,2024-02-19
.dance,generic,United TLD Holdco Ltd.,2024-02-19
.date,generic,dot Date Limited,2024-02-19
.dating,generic,"Pine Fest, LLC",2024-02-19
.datsun,generic,"NISSAN MOTOR CO., LTD.",2024-02-19
.day,generic,Charleston Road Registry Inc.,2024-02-19
.dclk,generic,Charleston Road Registry Inc.,2024-02-19
.deals,generic,"Sand Sunset, LLC",2024-02-19
.degree,generic,"United TLD Holdco, Ltd",2024-02-19
.delivery,generic,"Steel Station, LLC",2024-02-19
.democrat,generic,United TLD Holdco Ltd.,2024-02-19
.dental,generic,"Tin Birch, LLC",2024-02-19
.dentist,generic,"United TLD Holdco, Ltd",2024-02-19
.desi,generic,Desi Networks LLC,2024-02-19
.design,generic,"Top Level Design, LLC",2024-02-19
.dev,generic,Charleston Road Registry Inc.,2024-02-19
.diamonds,generic,"John Edge, LLC",2024-02-19
.diet,generic,"Uniregistry, Corp.",2024-02-19
.digital,generic,"Dash Park, LLC",2024-02-19
.direct,generic,"Half Trail, LLC",2024-02-19
.directory,generic,"Extra Madison, LLC",2024-02-19
.discount,generic,"Holly Hill, LLC",2024-02-19
.dnp,generic,"Dai Nippon Printing Co., Ltd.",2024-02-19
.docs,generic,Charleston Road Registry Inc.,2024-02-19
.doha,generic,Communications Regulatory Authority (CRA),2024-02-19
.domains,generic,"Sugar Cross, LLC",2024-02-19
.doosan,generic,Doosan Corporation,2024-02-19
.download,generic,dot Support Limited,2024-02-19
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry,2024-02-19
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2024-02-19
.eat,generic,Charleston Road Registry Inc.,2024-02-19
.education,generic,"Brice Way, LLC",2024-02-19
.email,generic,"Spring Madison, LLC",2024-02-19
.emerck,generic,Merck KGaA,2024-02-19
.energy,generic,"Binky Birch, LLC",2024-02-19
.engineer,generic,United TLD Holdco Ltd.,2024-02-19
.engineering,generic,Romeo Canyon,2024-02-19
.enterprises,generic,"Snow Oaks, LLC",2024-02-19
.epson,generic,Seiko Epson Corporation,2024-02-19
.equipment,generic,"Corn Station, LLC",2024-02-19
.erni,generic,ERNI Group Holding AG,2024-02-19
.esq,generic,Charleston Road Registry Inc.,2024-02-19
.estate,generic,"Trixy Park, LLC",2024-02-19
.eurovision,generic,European Broadcasting Union (EBU),2024-02-19
.eus,generic,Puntueus Fundazioa,2024-02-19
.events,generic,"Pioneer Maple, LLC",2024-02-19
.everbank,generic,EverBank,2024-02-19
.exchange,generic,"Spring Falls, LLC",2024-02-19
.expert,generic,"Magic Pass, LLC",2024-02-19
.exposed,generic,"Victor Beach, LLC",2024-02-19
.express,generic,"Sea Sunset, LLC",2024-02-19
.fail,generic,"Atomic Pipe, LLC",2024-02-19
.faith,generic,dot Faith Limited,2024-02-19
.fan,generic,Asiamix Digital Ltd,2024-02-19
.fans,generic,Asiamix Digital Limited,2024-02-19
.farm,generic,"Just Maple, LLC",2024-02-19
.fashion,generic,Top Level Domain Holdings Limited,2024-02-19
.feedback,generic,"Top Level Spectrum, Inc.",2024-02-19
.film,generic,Motion Picture Domain Registry Pty Ltd,2024-02-19
.finance,generic,"Cotton Cypress, LLC",2024-02-19
.financial,generic,"Just Cover, LLC",2024-02-19
.firmdale,generic,Firmdale Holdings Limited,2024-02-19
.fish,generic,"Fox Woods, LLC",2024-02-19
.fishing,generic,Top Level Domain Holdings Limited,2024-02-19
.fit,generic,Minds + Machines Group Limited,2024-02-19
.fitness,generic,"Brice Orchard, LLC",2024-02-19
.flights,generic,"Fox Station, LLC",2024-02-19
.florist,generic,"Half Cypress, LLC",2024-02-19
.flowers,generic,"Uniregistry, Corp.",2024-02-19
.flsmidth,generic,FLSmidth A/S,2024-02-19
.fly,generic,Charleston Road Registry Inc.,2024-02-19
.foo,generic,Charleston Road Registry Inc.,2024-02-19
.football,generic,"Foggy Farms, LLC",2024-02-19
.forex,generic,DOTFOREX REGISTRY LTD,2024-02-19
.forsale,generic,"United TLD Holdco, LLC",2024-02-19
.foundation,generic,"John Dale, LLC",2024-02-19
.frl,generic,FRLregistry B.V.,2024-02-19
.frogans,generic,OP3FT,2024-02-19
.fund,generic,"John Castle, LLC",2024-02-19
.furniture,generic,"Lone Fields, LLC",2024-02-19
.futbol,generic,"United TLD Holdco, Ltd.",2024-02-19
.gal,generic,Asociación puntoGAL,2024-02-19
.gallery,generic,"Sugar House, LLC",2024-02-19
.garden,generic,Top Level Domain Holdings Limited,2024-02-19
.gbiz,generic,Charleston Road Registry Inc.,2024-02-19
.gdn,generic,"Joint Stock Company ""Navigation-information systems""",2024-02-19
.gent,generic,COMBELL GROUP NV/SA,2024-02-19
.ggee,generic,"GMO Internet, Inc.",2024-02-19
.gift,generic,"Uniregistry, Corp.",2024-02-19
.gifts,generic,"Goose Sky, LLC",2024-02-19
.gives,generic,United TLD Holdco Ltd.,2024-02-19
.glass,generic,"Black Cover, LLC",2024-02-19
.gle,generic,Charleston Road Registry Inc.,2024-02-19
.global,generic,Dot Global Domain Registry Limited,2024-02-19
.globo,generic,Globo Comunicação e Participações S.A,2024-02-19
.gmail,generic,Charleston Road Registry Inc.,2024-02-19
.gmo,generic,"GMO Internet, Inc.",2024-02-19
.gmx,generic,1&1 Mail & Media GmbH,2024-02-19
.gold,generic,"June Edge, LLC",2024-02-19
.goldpoint,generic,"YODOBASHI CAMERA CO.,LTD.",2024-02-19
.golf,generic,"Lone Falls, LLC",2024-02-19
.goo,generic,NTT Resonant Inc.,2024-02-19
.goog,generic,Charleston Road Registry Inc.,2024-02-19
.google,generic,Charleston Road Registry Inc.,2024-02-19
.gop,generic,"Republican State Leadership Committee, Inc.",2024-02-19
.graphics,generic,"Over Madison, LLC",2024-02-19
.gratis,generic,"Pioneer Tigers, LLC",2024-02-19
.green,generic,Afilias Limited,2024-02-19
.gripe,generic,"Corn Sunset, LLC",2024-02-19
.guge,generic,Charleston Road Registry Inc.,2024-02-19
.guide,generic,"Snow Moon, LLC",2024-02-19
.guitars,generic,"Uniregistry, Corp.",2024-02-19
.guru,generic,"Pioneer Cypress, LLC",2024-02-19
.hamburg,generic,Hamburg Top-Level-Domain GmbH,2024-02-19
.hangout,generic,Charleston Road Registry Inc.,2024-02-19
.haus,generic,"United TLD Holdco, LTD.",2024-02-19
.healthcare,generic,"Silver Glen, LLC",2024-02-19
.help,generic,"Uniregistry, Corp.",2024-02-19
.here,generic,Charleston Road Registry Inc.,2024-02-19
.hermes,generic,Hermes International,2024-02-19
.hiphop,generic,"Uniregistry, Corp.",2024-02-19
.hiv,generic,dotHIV gemeinnuetziger e.V.,2024-02-19
.holdings,generic,"John Madison, LLC",2024-02-19
.holiday,generic,"Goose Woods, LLC",2024-02-19
.homes,generic,"DERHomes, LLC",2024-02-19
.horse,generic,Top Level Domain Holdings Limited,2024-02-19
.host,generic,DotHost Inc.,2024-02-19
