Domain,Type,Sponsoring Organisation,Date
.trading,generic,DOTTRADING REGISTRY LTD,2024-02-19
.training,generic,"Wild Willow, LLC",2024-02-19
.trust,generic,Artemis Internet Inc,2024-02-19
.tui,generic,TUI AG,2024-02-19
.university,generic,"Little Station, LLC",2024-02-19
.uno,generic,Dot Latin LLC,2024-02-19
.uol,generic,UBN INTERNET LTDA.,2024-02-19
.vacations,generic,"Atomic Tigers, LLC",2024-02-19
.vegas,generic,"Dot Vegas, Inc.",2024-02-19
.ventures,generic,"Binky Lake, LLC",2024-02-19
.versicherung,generic,dotversicherung-registry GmbH,2024-02-19
.vet,generic,"United TLD Holdco, Ltd",2024-02-19
.viajes,generic,"Black Madison, LLC",2024-02-19
.video,generic,"United TLD Holdco, Ltd",2024-02-19
.villas,generic,"New Sky, LLC",2024-02-19
.vision,generic,"Koko Station, LLC",2024-02-19
.vlaanderen,generic,DNS.be vzw,2024-02-19
.vodka,generic,Top Level Domain Holdings Limited,2024-02-19
.vote,generic,Monolith Registry LLC,2024-02-19
.voting,generic,Valuetainment Corp.,2024-02-19
.voto,generic,Monolith Registry LLC,2024-02-19
.voyage,generic,"Ruby House, LLC",2024-02-19
.wales,generic,Nominet UK,2024-02-19
.wang,generic,Zodiac Registry Limited,2024-02-19
.watch,generic,"Sand Shadow, LLC",2024-02-19
.webcam,generic,dot Webcam Limited,2024-02-19
.website,generic,DotWebsite Inc.,2024-02-19
.wed,generic,"Atgron, Inc.",2024-02-19
.wedding,generic,Top Level Domain Holdings Limited,2024-02-19
.whoswho,generic,Who's Who Registry,2024-02-19
.wien,generic,punkt.wien GmbH,2024-02-19
.wiki,generic,"Top Level Design, LLC",2024-02-19
.williamhill,generic,William Hill Organization Limited,2024-02-19
.win,generic,First Registry Limited,2024-02-19
.wme,generic,"William Morris Endeavor Entertainment, LLC",2024-02-19
.work,generic,Top Level Domain Holdings Limited,2024-02-19
.works,generic,"Little Dynamite, LLC",2024-02-19
.world,generic,"Bitter Fields, LLC",2024-02-19
.wtc,generic,"World Trade Centers Association, Inc.",2024-02-19
.wtf,generic,"Hidden Way, LLC",2024-02-19
.xin,generic,Elegant Leader Limited,2024-02-19
.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2024-02-19
.慈善,generic,Excellent First Limited,2024-02-19
.集团,generic,Eagle Horizon Limited,2024-02-19
.在线,generic,TLD REGISTRY LIMITED,2024-02-19
.八卦,generic,Zodiac Scorpio Limited,2024-02-19
.موقع,generic,Suhub Electronic Establishment,2024-02-19
.公益,generic,China Organizational Name Administration Center,2024-02-19
.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2024-02-19
.移动,generic,Afilias Limited,2024-02-19
.我爱你,generic,Tycoon Treasure Limited,2024-02-19
.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2024-02-19
.онлайн,generic,CORE Association,2024-02-19
.сайт,generic,CORE Association,2024-02-19
.时尚,generic,RISE VICTORY LIMITED,2024-02-19
.淡马锡,generic,Temasek Holdings (Private) Limited,2024-02-19
.орг,generic,Public Interest Registry,2024-02-19
.삼성,generic,"SAMSUNG SDS CO., LTD",2024-02-19
.商标,generic,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED,2024-02-19
.商店,generic,"Wild Island, LLC",2024-02-19
.商城,generic,Zodiac Aquarius Limited,2024-02-19
.дети,generic,The Foundation for Network Initiatives “The Smart Internet”,2024-02-19
.中文网,generic,TLD REGISTRY LIMITED,2024-02-19
.中信,generic,CITIC Group Corporation,2024-02-19
.谷歌,generic,Charleston Road Registry Inc.,2024-02-19
.网店,generic,Zodiac Libra Limited,2024-02-19
.संगठन,generic,Public Interest Registry,2024-02-19
.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2024-02-19
.飞利浦,generic,Koninklijke Philips N.V.,2024-02-19
.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd",2024-02-19
.بازار,generic,CORE Association,2024-02-19
.政府,generic,"Net-Chinese Co., Ltd.",2024-02-19
.شبكة,generic,International Domain Registry Pty. Ltd.,2024-02-19
.机构,generic,Public Interest Registry,2024-02-19
.组织机构,generic,Public Interest Registry,2024-02-19
.健康,generic,Stable Tone Limited,2024-02-19
.рус,generic,Rusnames Limited,2024-02-19
.みんな,generic,Charleston Road Registry Inc.,2024-02-19
.グーグル,generic,Charleston Road Registry Inc.,2024-02-19
.世界,generic,Stable Tone Limited,2024-02-19
.网址,generic,"KNET Co., Ltd",2024-02-19
.游戏,generic,"Spring Fields, LLC",2024-02-19
.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2024-02-19
.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2024-02-19
.企业,generic,"Dash McCook, LLC",2024-02-19
.信息,generic,"Beijing Tele-info Network Technology Co., Ltd.",2024-02-19
.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2024-02-19
.政务,generic,China Organizational Name Administration Center,2024-02-19
.xyz,generic,XYZ.COM LLC,2024-02-19
.yachts,generic,"DERYachts, LLC",2024-02-19
.yandex,generic,"YANDEX, LLC",2024-02-19
.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD.",2024-02-19
.yoga,generic,Top Level Domain Holdings Limited,2024-02-19
.yokohama,generic,"GMO Registry, Inc.",2024-02-19
.youtube,generic,Charleston Road Registry Inc.,2024-02-19
.zip,generic,Charleston Road Registry Inc.,2024-02-19
.zone,generic,"Outer Falls, LLC",2024-02-19
.zuerich,generic,Kanton Zürich (Canton of Zurich),2024-02-19
