Domain,Type,Sponsoring Organisation,Date
.credit,generic,"Snow Shadow, LLC",2024-02-22
.creditcard,generic,"Binky Frostbite, LLC",2024-02-22
.cricket,generic,dot Cricket Limited,2024-02-22
.crs,generic,Federated Co-operatives Limited,2024-02-22
.cruises,generic,"Spring Way, LLC",2024-02-22
.cuisinella,generic,SALM S.A.S.,2024-02-22
.cymru,generic,Nominet UK,2024-02-22
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd.",2024-02-22
.dabur,generic,Dabur India Limited,2024-02-22
.dad,generic,Charleston Road Registry Inc.,2024-02-22
.dance,generic,United TLD Holdco Ltd.,2024-02-22
.date,generic,dot Date Limited,2024-02-22
.dating,generic,"Pine Fest, LLC",2024-02-22
.datsun,generic,"NISSAN MOTOR CO., LTD.",2024-02-22
.day,generic,Charleston Road Registry Inc.,2024-02-22
.dclk,generic,Charleston Road Registry Inc.,2024-02-22
.deals,generic,"Sand Sunset, LLC",2024-02-22
.degree,generic,"United TLD Holdco, Ltd",2024-02-22
.delivery,generic,"Steel Station, LLC",2024-02-22
.democrat,generic,United TLD Holdco Ltd.,2024-02-22
.dental,generic,"Tin Birch, LLC",2024-02-22
.dentist,generic,"United TLD Holdco, Ltd",2024-02-22
.desi,generic,Desi Networks LLC,2024-02-22
.design,generic,"Top Level Design, LLC",2024-02-22
.dev,generic,Charleston Road Registry Inc.,2024-02-22
.diamonds,generic,"John Edge, LLC",2024-02-22
.diet,generic,"Uniregistry, Corp.",2024-02-22
.digital,generic,"Dash Park, LLC",2024-02-22
.direct,generic,"Half Trail, LLC",2024-02-22
.directory,generic,"Extra Madison, LLC",2024-02-22
.discount,generic,"Holly Hill, LLC",2024-02-22
.dnp,generic,"Dai Nippon Printing Co., Ltd.",2024-02-22
.docs,generic,Charleston Road Registry Inc.,2024-02-22
.doha,generic,Communications Regulatory Authority (CRA),2024-02-22
.domains,generic,"Sugar Cross, LLC",2024-02-22
.doosan,generic,Doosan Corporation,2024-02-22
.download,generic,dot Support Limited,2024-02-22
.durban,generic,ZA Central Registry NPC trading as ZA Central Registry,2024-02-22
.dvag,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2024-02-22
.eat,generic,Charleston Road Registry Inc.,2024-02-22
.education,generic,"Brice Way, LLC",2024-02-22
.email,generic,"Spring Madison, LLC",2024-02-22
.emerck,generic,Merck KGaA,2024-02-22
.energy,generic,"Binky Birch, LLC",2024-02-22
.engineer,generic,United TLD Holdco Ltd.,2024-02-22
.engineering,generic,Romeo Canyon,2024-02-22
.enterprises,generic,"Snow Oaks, LLC",2024-02-22
.epson,generic,Seiko Epson Corporation,2024-02-22
.equipment,generic,"Corn Station, LLC",2024-02-22
.erni,generic,ERNI Group Holding AG,2024-02-22
.esq,generic,Charleston Road Registry Inc.,2024-02-22
.estate,generic,"Trixy Park, LLC",2024-02-22
.eurovision,generic,European Broadcasting Union (EBU),2024-02-22
.eus,generic,Puntueus Fundazioa,2024-02-22
.events,generic,"Pioneer Maple, LLC",2024-02-22
.everbank,generic,EverBank,2024-02-22
.exchange,generic,"Spring Falls, LLC",2024-02-22
.expert,generic,"Magic Pass, LLC",2024-02-22
.exposed,generic,"Victor Beach, LLC",2024-02-22
.express,generic,"Sea Sunset, LLC",2024-02-22
.fail,generic,"Atomic Pipe, LLC",2024-02-22
.faith,generic,dot Faith Limited,2024-02-22
.fan,generic,Asiamix Digital Ltd,2024-02-22
.fans,generic,Asiamix Digital Limited,2024-02-22
.farm,generic,"Just Maple, LLC",2024-02-22
.fashion,generic,Top Level Domain Holdings Limited,2024-02-22
.feedback,generic,"Top Level Spectrum, Inc.",2024-02-22
.film,generic,Motion Picture Domain Registry Pty Ltd,2024-02-22
.finance,generic,"Cotton Cypress, LLC",2024-02-22
.financial,generic,"Just Cover, LLC",2024-02-22
.firmdale,generic,Firmdale Holdings Limited,2024-02-22
.fish,generic,"Fox Woods, LLC",2024-02-22
.fishing,generic,Top Level Domain Holdings Limited,2024-02-22
.fit,generic,Minds + Machines Group Limited,2024-02-22
.fitness,generic,"Brice Orchard, LLC",2024-02-22
.flights,generic,"Fox Station, LLC",2024-02-22
.florist,generic,"Half Cypress, LLC",2024-02-22
.flowers,generic,"Uniregistry, Corp.",2024-02-22
.flsmidth,generic,FLSmidth A/S,2024-02-22
.fly,generic,Charleston Road Registry Inc.,2024-02-22
.foo,generic,Charleston Road Registry Inc.,2024-02-22
.football,generic,"Foggy Farms, LLC",2024-02-22
.forex,generic,DOTFOREX REGISTRY LTD,2024-02-22
.forsale,generic,"United TLD Holdco, LLC",2024-02-22
.foundation,generic,"John Dale, LLC",2024-02-22
.frl,generic,FRLregistry B.V.,2024-02-22
.frogans,generic,OP3FT,2024-02-22
.fund,generic,"John Castle, LLC",2024-02-22
.furniture,generic,"Lone Fields, LLC",2024-02-22
.futbol,generic,"United TLD Holdco, Ltd.",2024-02-22
.gal,generic,Asociación puntoGAL,2024-02-22
.gallery,generic,"Sugar House, LLC",2024-02-22
.garden,generic,Top Level Domain Holdings Limited,2024-02-22
.gbiz,generic,Charleston Road Registry Inc.,2024-02-22
.gdn,generic,"Joint Stock Company ""Navigation-information systems""",2024-02-22
.gent,generic,COMBELL GROUP NV/SA,2024-02-22
.ggee,generic,"GMO Internet, Inc.",2024-02-22
.gift,generic,"Uniregistry, Corp.",2024-02-22
.gifts,generic,"Goose Sky, LLC",2024-02-22
.gives,generic,United TLD Holdco Ltd.,2024-02-22
.glass,generic,"Black Cover, LLC",2024-02-22
.gle,generic,Charleston Road Registry Inc.,2024-02-22
.global,generic,Dot Global Domain Registry Limited,2024-02-22
.globo,generic,Globo Comunicação e Participações S.A,2024-02-22
.gmail,generic,Charleston Road Registry Inc.,2024-02-22
.gmo,generic,"GMO Internet, Inc.",2024-02-22
