Domain,Type,Sponsoring Organisation,Date
.trade,generic,Elite Registry Limited,2024-02-22
.trading,generic,DOTTRADING REGISTRY LTD,2024-02-22
.training,generic,"Wild Willow, LLC",2024-02-22
.trust,generic,Artemis Internet Inc,2024-02-22
.tui,generic,TUI AG,2024-02-22
.university,generic,"Little Station, LLC",2024-02-22
.uno,generic,Dot Latin LLC,2024-02-22
.uol,generic,UBN INTERNET LTDA.,2024-02-22
.vacations,generic,"Atomic Tigers, LLC",2024-02-22
.vegas,generic,"Dot Vegas, Inc.",2024-02-22
.ventures,generic,"Binky Lake, LLC",2024-02-22
.versicherung,generic,dotversicherung-registry GmbH,2024-02-22
.vet,generic,"United TLD Holdco, Ltd",2024-02-22
.viajes,generic,"Black Madison, LLC",2024-02-22
.video,generic,"United TLD Holdco, Ltd",2024-02-22
.villas,generic,"New Sky, LLC",2024-02-22
.vision,generic,"Koko Station, LLC",2024-02-22
.vlaanderen,generic,DNS.be vzw,2024-02-22
.vodka,generic,Top Level Domain Holdings Limited,2024-02-22
.vote,generic,Monolith Registry LLC,2024-02-22
.voting,generic,Valuetainment Corp.,2024-02-22
.voto,generic,Monolith Registry LLC,2024-02-22
.voyage,generic,"Ruby House, LLC",2024-02-22
.wales,generic,Nominet UK,2024-02-22
.wang,generic,Zodiac Registry Limited,2024-02-22
.watch,generic,"Sand Shadow, LLC",2024-02-22
.webcam,generic,dot Webcam Limited,2024-02-22
.website,generic,DotWebsite Inc.,2024-02-22
.wed,generic,"Atgron, Inc.",2024-02-22
.wedding,generic,Top Level Domain Holdings Limited,2024-02-22
.whoswho,generic,Who's Who Registry,2024-02-22
.wien,generic,punkt.wien GmbH,2024-02-22
.wiki,generic,"Top Level Design, LLC",2024-02-22
.williamhill,generic,William Hill Organization Limited,2024-02-22
.win,generic,First Registry Limited,2024-02-22
.wme,generic,"William Morris Endeavor Entertainment, LLC",2024-02-22
.work,generic,Top Level Domain Holdings Limited,2024-02-22
.works,generic,"Little Dynamite, LLC",2024-02-22
.world,generic,"Bitter Fields, LLC",2024-02-22
.wtc,generic,"World Trade Centers Association, Inc.",2024-02-22
.wtf,generic,"Hidden Way, LLC",2024-02-22
.xin,generic,Elegant Leader Limited,2024-02-22
.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2024-02-22
.慈善,generic,Excellent First Limited,2024-02-22
.集团,generic,Eagle Horizon Limited,2024-02-22
.在线,generic,TLD REGISTRY LIMITED,2024-02-22
.八卦,generic,Zodiac Scorpio Limited,2024-02-22
.موقع,generic,Suhub Electronic Establishment,2024-02-22
.公益,generic,China Organizational Name Administration Center,2024-02-22
.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2024-02-22
.移动,generic,Afilias Limited,2024-02-22
.我爱你,generic,Tycoon Treasure Limited,2024-02-22
.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2024-02-22
.онлайн,generic,CORE Association,2024-02-22
.сайт,generic,CORE Association,2024-02-22
.时尚,generic,RISE VICTORY LIMITED,2024-02-22
.淡马锡,generic,Temasek Holdings (Private) Limited,2024-02-22
.орг,generic,Public Interest Registry,2024-02-22
.삼성,generic,"SAMSUNG SDS CO., LTD",2024-02-22
.商标,generic,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED,2024-02-22
.商店,generic,"Wild Island, LLC",2024-02-22
.商城,generic,Zodiac Aquarius Limited,2024-02-22
.дети,generic,The Foundation for Network Initiatives “The Smart Internet”,2024-02-22
.中文网,generic,TLD REGISTRY LIMITED,2024-02-22
.中信,generic,CITIC Group Corporation,2024-02-22
.谷歌,generic,Charleston Road Registry Inc.,2024-02-22
.网店,generic,Zodiac Libra Limited,2024-02-22
.संगठन,generic,Public Interest Registry,2024-02-22
.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2024-02-22
.飞利浦,generic,Koninklijke Philips N.V.,2024-02-22
.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd",2024-02-22
.بازار,generic,CORE Association,2024-02-22
.政府,generic,"Net-Chinese Co., Ltd.",2024-02-22
.شبكة,generic,International Domain Registry Pty. Ltd.,2024-02-22
.机构,generic,Public Interest Registry,2024-02-22
.组织机构,generic,Public Interest Registry,2024-02-22
.健康,generic,Stable Tone Limited,2024-02-22
.рус,generic,Rusnames Limited,2024-02-22
.みんな,generic,Charleston Road Registry Inc.,2024-02-22
.グーグル,generic,Charleston Road Registry Inc.,2024-02-22
.世界,generic,Stable Tone Limited,2024-02-22
.网址,generic,"KNET Co., Ltd",2024-02-22
.游戏,generic,"Spring Fields, LLC",2024-02-22
.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2024-02-22
.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2024-02-22
.企业,generic,"Dash McCook, LLC",2024-02-22
.信息,generic,"Beijing Tele-info Network Technology Co., Ltd.",2024-02-22
.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2024-02-22
.政务,generic,China Organizational Name Administration Center,2024-02-22
.xyz,generic,XYZ.COM LLC,2024-02-22
.yachts,generic,"DERYachts, LLC",2024-02-22
.yandex,generic,"YANDEX, LLC",2024-02-22
.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD.",2024-02-22
.yoga,generic,Top Level Domain Holdings Limited,2024-02-22
.yokohama,generic,"GMO Registry, Inc.",2024-02-22
.youtube,generic,Charleston Road Registry Inc.,2024-02-22
.zip,generic,Charleston Road Registry Inc.,2024-02-22
.zone,generic,"Outer Falls, LLC",2024-02-22
.zuerich,generic,Kanton Zürich (Canton of Zurich),2024-02-22
